Movie,Directors,Ranking
Citizen Kane,Orson Welles,1
Vertigo,Alfred Hitchcock,2
2001: A Space Odyssey,Stanley Kubrick,3
The Rules of the Game,Jean Renoir,4
Tokyo Story,Yasujiro Ozu,5
The Godfather,Francis Ford Coppola,6
8_½ ,Federico Fellini,7
Sunrise,F.W. Murnau,8
The Searchers,John Ford,9
Seven Samurai,Akira Kurosawa,10
Apocalypse Now,Francis Ford Coppola,11
Singin' in the Rain,Stanley Donen & Gene Kelly,12
Bicycle Thieves,Vittorio De Sica,13
Battleship Potemkin,Sergei Eisenstein,14
Taxi Driver,Martin Scorsese,15
The Passion of Joan of Arc,Carl Theodor Dreyer,16
Breathless,Jean-Luc Godard,17
L'Atalante,Jean Vigo,18
Persona,Ingmar Bergman,19
Rashomon,Akira Kurosawa,20
The Godfather Part II,Francis Ford Coppola,21
Man with a Movie Camera,Dziga Vertov,22
Raging Bull,Martin Scorsese,23
City Lights,Charles Chaplin,24
The 400 Blows ,François Truffaut,25
Psycho,Alfred Hitchcock,26
Andrei Rublev,Andrei Tarkovsky,27
Some Like it Hot,Billy Wilder,28
The Mirror,Andrei Tarkovsky,29
Touch of Evil,Orson Welles,30
La Dolce vita,Federico Fellini,31
Casablanca,Michael Curtiz,32
Lawrence of Arabia,David Lean,33
Ordet,Carl Theodor Dreyer,34
Au hasard Balthazar,Robert Bresson,35
Sunset Blvd.,Billy Wilder,36
L'Avventura,Michelangelo Antonioni,37
The General,Buster Keaton & Clyde Bruckman,38
Blade Runner,Ridley Scott,39
Contempt,Jean-Luc Godard,40
Rear Window,Alfred Hitchcock,41
La Grande illusion,Jean Renoir,42
The Night of the Hunter,Charles Laughton,43
Modern Times,Charles Chaplin,44
In the Mood for Love,Wong Kar-wai,45
The Third Man,Carol Reed,46
Playtime,Jacques Tati,47
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,48
Chinatown,Roman Polanski,49
Ugetsu monogatari,Kenji Mizoguchi,50
Barry Lyndon,Stanley Kubrick,51
The Apartment,Billy Wilder,52
M,Fritz Lang,53
Rio Bravo,Howard Hawks,54
