Movie,Directors,Ranking,year,region,length,genre
Citizen Kane,Orson Welles,1,1941, USA ,119m, Drama
Vertigo,Alfred Hitchcock,2,1958, USA ,128m, Romantic Mystery
2001: A Space Odyssey,Stanley Kubrick,3,1968, UK-USA ,139m, Psychological Sci-Fi
The Rules of the Game,Jean Renoir,4,1939, France ,113m, Comedy Drama
Tokyo Story,Yasujiro Ozu,5,1953, Japan ,134m, Drama
The Godfather,Francis Ford Coppola,6,1972, USA ,175m, Gangster Film
8Â½,Federico Fellini,7,1963, Italy ,135m, Satire
Sunrise,F.W. Murnau,8,1927, USA ,110m, Melodrama
The Searchers,John Ford,9,1956, USA ,119m, Western
Seven Samurai,Akira Kurosawa,10,1954, Japan ,200m, Drama
Apocalypse Now,Francis Ford Coppola,11,1979, USA ,150m, Anti-War Film
Singin' in the Rain,Stanley Donen & Gene Kelly,12,1952, USA ,102m, Musical
Bicycle Thieves,Vittorio De Sica,13,1948, Italy ,90m, Family Drama
Battleship Potemkin,Sergei Eisenstein,14,1925, USSR ,71m, Political Drama
Taxi Driver,Martin Scorsese,15,1976, USA ,113m, Psychological Drama
The Passion of Joan of Arc,Carl Theodor Dreyer,16,1928, France ,110m, Historical Film
Breathless,Jean-Luc Godard,17,1960, France ,89m, Crime Drama
L'Atalante,Jean Vigo,18,1934, France ,89m, Romantic Drama
Persona,Ingmar Bergman,19,1966, Sweden ,81m, Drama
Rashomon,Akira Kurosawa,20,1950, Japan ,88m, Period Film
The Godfather Part II,Francis Ford Coppola,21,1974, USA ,200m, Gangster Film
Man with a Movie Camera,Dziga Vertov,22,1929, USSR ,80m, Avant-garde-Experimental
Raging Bull,Martin Scorsese,23,1980, USA ,128m, Biography
City Lights,Charles Chaplin,24,1931, USA ,86m, Comedy Drama
The 400 Blows,François Truffaut,25,1959, France ,99m, Childhood Drama
Psycho,Alfred Hitchcock,26,1960, USA ,109m, Thriller
Andrei Rublev,Andrei Tarkovsky,27,1966, USSR ,185m, Historical Film
Some Like it Hot,Billy Wilder,28,1959, USA ,119m, Comedy
The Mirror,Andrei Tarkovsky,29,1975, USSR ,108m, Avant-garde-Experimental
Touch of Evil,Orson Welles,30,1958, USA ,108m, Crime
La Dolce vita,Federico Fellini,31,1960, Italy ,175m, Comedy Drama
Casablanca,Michael Curtiz,32,1942, USA ,102m, Drama
Lawrence of Arabia,David Lean,33,1962, UK ,216m, Epic
Ordet,Carl Theodor Dreyer,34,1955, Denmark ,125m, Drama
Au hasard Balthazar,Robert Bresson,35,1966, France ,95m, Rural Drama
Sunset Blvd.,Billy Wilder,36,1950, USA ,110m, Showbiz Drama
L'Avventura,Michelangelo Antonioni,37,1960, Italy-France ,145m, Drama
The General,Buster Keaton & Clyde Bruckman,38,1926, USA ,74m, Adventure Comedy
Blade Runner,Ridley Scott,39,1982, USA ,118m, Science Fiction
Contempt,Jean-Luc Godard,40,1963, France-Italy ,103m, Showbiz Drama
Rear Window,Alfred Hitchcock,41,1954, USA ,112m, Thriller
La Grande illusion,Jean Renoir,42,1937, France ,117m, Anti-War Film
The Night of the Hunter,Charles Laughton,43,1955, USA ,93m, Crime Thriller
Modern Times,Charles Chaplin,44,1936, USA ,89m, Comedy
In the Mood for Love,Wong Kar-wai,45,2000, Hong Kong-France ,97m, Melodrama
The Third Man,Carol Reed,46,1949, UK ,104m, Mystery
Playtime,Jacques Tati,47,1967, France ,108m, Satire
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,48,1964, UK-USA ,93m, Black Comedy
Chinatown,Roman Polanski,49,1974, USA ,131m, Mystery
Ugetsu monogatari,Kenji Mizoguchi,50,1953, Japan ,96m, Romantic Fantasy
Barry Lyndon,Stanley Kubrick,51,1975, UK ,183m, Drama
The Apartment,Billy Wilder,52,1960, USA ,125m, Comedy Drama
M,Fritz Lang,53,1931, Germany ,99m, Psychological Thriller
Rio Bravo,Howard Hawks,54,1959, USA ,141m, Western
Fanny and Alexander,Ingmar Bergman,55,1982, Sweden ,189m, Family Drama
Wild Strawberries,Ingmar Bergman,56,1957, Sweden ,90m, Drama
Metropolis,Fritz Lang,57,1927, Germany ,153m, Science Fiction
Stalker,Andrei Tarkovsky,58,1979, USSR ,160m, Science Fiction
Pather Panchali,Satyajit Ray,59,1955, India ,112m, Rural Drama
North by Northwest,Alfred Hitchcock,60,1959, USA ,136m, Thriller
Mulholland Dr.,David Lynch,61,2001, France-US ,147m, Mystery
The Wild Bunch,Sam Peckinpah,62,1969, USA ,144m, Revisionist Western
Les Enfants du paradis,Marcel Carné,63,1945, France ,195m, Period Film
Once Upon a Time in the West,Sergio Leone,64,1968, Italy-USA ,165m, Epic Western
Pierrot le fou,Jean-Luc Godard,65,1965, France-Italy ,110m, Road Movie
The Battle of Algiers,Gillo Pontecorvo,66,1966, Italy-Algeria ,123m, Docudrama
The Gold Rush,Charles Chaplin,67,1925, USA ,82m, Slapstick
Shoah,Claude Lanzmann,68,1985, France ,566m, Military & War
La Strada,Federico Fellini,69,1954, Italy ,115m, Melodrama
The Magnificent Ambersons,Orson Welles,70,1942, USA ,88m, Family Drama
The Seventh Seal,Ingmar Bergman,71,1957, Sweden ,96m, Fantasy
Amarcord,Federico Fellini,72,1973, Italy ,127m, Comedy Drama
Late Spring,Yasujiro Ozu,73,1949, Japan ,108m, Drama
Voyage in Italy,Roberto Rossellini,74,1953, Italy ,97m, Marriage Drama
Pulp Fiction,Quentin Tarantino,75,1994, USA ,154m, Crime Comedy
Viridiana,Luis Buñuel,76,1961, Spain ,90m, Comedy Drama
GoodFellas,Martin Scorsese,77,1990, USA ,146m, Gangster Film
The Leopard,Luchino Visconti,78,1963, Italy ,205m, Epic
It's a Wonderful Life,Frank Capra,79,1946, USA ,129m, Comedy Drama
Blue Velvet,David Lynch,80,1986, USA ,120m, Mystery
Pickpocket,Robert Bresson,81,1959, France ,75m, Crime Drama
A Clockwork Orange,Stanley Kubrick,82,1971, UK ,137m, Satire
Gertrud,Carl Theodor Dreyer,83,1964, Denmark ,116m, Psychological Drama
The Conformist,Bernardo Bertolucci,84,1970, Italy-France-West Germany ,107m, Psychological Drama
Jules et Jim,François Truffaut,85,1962, France ,104m, Drama
Annie Hall,Woody Allen,86,1977, USA ,94m, Romantic Comedy
Nashville,Robert Altman,87,1975, USA,159m, Ensemble Film
Close-Up,Abbas Kiarostami,88,1990, Iran ,98m, Docudrama
A Man Escaped,Robert Bresson,89,1956, France ,102m, Drama
The Man Who Shot Liberty Valance,John Ford,90,1962, USA ,119m, Western
Last Year at Marienbad,Alain Resnais,91,1961, France-Italy ,94m, Avant-garde-Experimental
Greed,Erich von Stroheim,92,1924, USA ,140m, Melodrama
Sansho the Bailiff,Kenji Mizoguchi,93,1954, Japan ,125m, Drama
The Shining,Stanley Kubrick,94,1980, USA ,142m, Horror
Jaws,Steven Spielberg,95,1975, USA ,124m, Thriller
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,96,1975, Belgium-France ,201m, Avant-garde-Experimental
Aguirre: The Wrath of God,Werner Herzog,97,1972, West Germany ,94m, Adventure Drama
Blowup,Michelangelo Antonioni,98,1966, Italy-UK ,111m, Mystery
Sans soleil,Chris Marker,99,1983, France ,100m, Avant-garde-Experimental
SÃ¡tÃ¡ntangÃ³,Béla Tarr,100,1994, Hungary-Germany-Switzerland ,450m, Drama
To Be or Not to Be,Ernst Lubitsch,101,1942, USA ,99m, Comedy
Once Upon a Time in America,Sergio Leone,102,1984, Italy-USA ,229m, Crime
The Wizard of Oz,Victor Fleming,103,1939, USA ,101m, Children's
A Woman Under the Influence,John Cassavetes,104,1974, USA ,155m, Marriage Drama
Intolerance,D.W. Griffith,105,1916, USA ,178m, Historical Epic
Manhattan,Woody Allen,106,1979, USA ,96m, Urban Comedy
The Mother and the Whore,Jean Eustache,107,1973, France ,210m, Psychological Drama
